English,Україньска,Unnamed: 2,Notes
Armchair,Крісло,кресло,
Clock/watch,Годинник,часы,
Cupboard/closet,Шафа,шкаф,
Curtain,Штори/Фіранка ,Шторы / Занавеска,
End table,Столик,столик,
Fireplace,Камін,камин,
Furniture,Меблі,мебель,
House plant,Вазонок,вазон,
Lamp,Світильник,светильник,
Magazine,Журнал,Журнал,
Newspaper,Газета,газета,
Painting,Малярство,живопись,
Picture,Картина,картина,
Pillow,Подушка,Подушка,
Rug/tapestry,Килим,ковер,both a decorative wall hanging and an area rug
Sofa,Кушетка,Диван,
Stereo,Стерео,стерео,
Television,Телевізор,телевизор,
Window,Вікно,окно,
