English,Україньска,Notes
Ambassador,Посол,
Ballot,Ви́борчий бюлете́нь,
Bill,"Білль, рукопис",
Border,Границя/кордон,
Budget,Бюдже́т,
Bureaucracy,Бюрокрáтія,
Cabinet,Кабіне́т міні́стрів,
Campaign ,Передви́борча кампа́нія,
Candidate,Кандида́т,
Centrist,Центризм,
Citizen,Громадянин,
Civil service,Держа́вна слу́жба,
Coalition,Коали́ция,
Congress,Конгре́с,
Conservatism,Консервати́зм,
Constitution,Парла́мент,
Country,Країна,
Country,Держава,
Customs,Митниця,
Democracy,Демокра́тія,
Democratic,Демократичний,
Dictator,Диктатор,
Dismissal,відставка,
Duty,Мито,
Election,Ви́бори,
Embassy,Посольство,
Fascist,Фаши́зм,
Foreigner,Чужинець,
Foreigner,Іноземець,
Goods/merchandise,Товар,
Government,Уряд,
Ideology,Ідеоло́гія,
Imperialist,Імперіалі́зм,
Language,Мова,
Law,Матеріал,
Leadership,керівництво,
Left-wing,Ліви́ця,
Legislature,Законода́вча вла́да,
Liberalism,Лібералі́зм,
Minister,Міні́стр,
Ministry,Міністерства,
Monarchy,Мона́рхія,
Nation,Народ,
Nationalism,Націоналі́зм,
Opposition,Опози́ція,
Parliament,Парла́мент,
Party,Політи́чна па́ртія,
Peasant,Селянин,
Percent,Процент,
Percent,Відсоток,
Politician,Політик,
Politics,Полі́тика,
Poll,Опи́тування,
Population,Населення,
Post,посада,job
President,Президент,
Property/wealth,Майно,
Referendum,Рефере́ндум,
Republic,Респу́бліка,
Right-wing,Правиця,
Rival,суперниця,
Senate,Сена́т,
Slav,Слов'янин,
Socialism,Соціалі́зм,
State,Держава,
Supreme Court,Верховний суд ,
Tax,Провінція,
Tax,Податок,
United Nations,Організація Об'єднаних Націй,
